stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
6.0,CAV,Casco Viejo,  43.25968,  -2.92071,0,6
40.0,PEN,Peñota,  43.32198,  -3.02540,0,40
51.0,BSR,Basauri,  43.23624,  -2.89340,0,51
5.0,SAN,Santutxu,  43.25430,  -2.91335,0,5
20.0,GOB,Gobela,  43.33308,  -3.00735,0,20
21.0,NEG,Neguri,  43.34024,  -3.00562,0,21
30.0,PLE,Plentzia,  43.40134,  -2.94636,0,30
32.0,GUR,Gurutzeta/Cruces,  43.28301,  -2.98245,0,32
33.0,ANS,Ansio,  43.28919,  -2.98716,0,33
39.0,POR,Portugalete,  43.31777,  -3.02076,0,39
11.0,DEU,Deusto,  43.27145,  -2.94954,0,11
18.0,LAM,Lamiako,  43.32133,  -3.00102,0,18
29.0,URD,Urduliz,  43.37882,  -2.95855,0,29
